tiempo,id,x,y
85,3,312,12
86,0,254,10
86,1,274,10
86,2,294,10
86,3,314,10
87,0,256,14.4
87,1,276,14.4
87,2,296,14.4
87,3,316,14.4
88,0,258,19.2
88,1,278,19.2
88,2,298,19.2
88,3,318,19.2
89,0,260,24.4
89,1,280,24.4
89,2,300,24.4
89,3,320,24.4
90,0,262,30
90,1,282,30
90,2,302,30
90,3,322,30
91,0,264,36
91,1,284,36
91,2,304,36
91,3,324,36
92,0,266,42.4
92,1,286,42.4
92,2,306,42.4
92,3,326,42.4
93,0,268,49.2
93,1,288,49.2
93,2,308,49.2
93,3,328,49.2
94,0,270,56.4
94,1,290,56.4
94,2,310,56.4
94,3,330,56.4
95,0,272,64
95,1,292,64
95,2,312,64
95,3,332,64
96,0,274,72
96,1,294,72
96,2,314,72
96,3,334,72
97,0,276,80.4
97,1,296,80.4
97,2,316,80.4
97,3,336,80.4
98,0,278,89.2
98,1,298,89.2
98,2,318,89.2
98,3,338,89.2
99,0,280,98.4
99,1,300,98.4
99,2,320,98.4
99,3,340,98.4
100,0,282,108
100,1,302,108
100,2,322,108
100,3,342,108
101,0,284,110
101,1,304,110
101,2,324,110
101,3,344,110
102,0,286,100.4
102,1,306,100.4
102,2,326,100.4
102,3,346,100.4
103,0,288,91.2
103,1,308,91.2
103,2,328,91.2
103,3,348,91.2
104,0,290,82.4
104,1,310,82.4
104,2,330,82.4
104,3,350,82.4
105,0,292,74
105,1,312,74
105,2,332,74
105,3,352,74
106,0,294,66
106,1,314,66
106,2,334,66
106,3,354,66
107,0,296,58.4
107,1,316,58.4
107,2,336,58.4
107,3,356,58.4
108,0,298,51.2
108,1,318,51.2
108,2,338,51.2
108,3,358,51.2
109,0,300,44.4
109,1,320,44.4
109,2,340,44.4
109,3,360,44.4
110,0,302,38
110,1,322,38
110,2,342,38
110,3,362,38
111,0,304,32
111,1,324,32
111,2,344,32
111,3,364,32
112,0,306,26.4
112,1,326,26.4
112,2,346,26.4
112,3,366,26.4
113,0,308,21.2
113,1,328,21.2
113,2,348,21.2
113,3,368,21.2
114,0,310,16.4
114,1,330,16.4
114,2,350,16.4
114,3,370,16.4
115,0,312,12
115,1,332,12
115,2,352,12
115,3,372,12
116,0,314,10
116,1,334,10
116,2,354,10
116,3,374,10
117,0,316,14.4
117,1,336,14.4
117,2,356,14.4
117,3,376,14.4
118,0,318,19.2
118,1,338,19.2
118,2,358,19.2
118,3,378,19.2
119,0,320,24.4
119,1,340,24.4
119,2,360,24.4
119,3,380,24.4
120,0,322,30
120,1,342,30
120,2,362,30
120,3,382,30
121,0,324,36
121,1,344,36
121,2,364,36
